K,Metric,LightGBM,DeepFM,SASRec,Fusion
5,PRECISION,0.0440,0.0338,0.0705,0.0763
5,RECALL,0.2199,0.1692,0.3524,0.3816
5,F1,0.0733,0.0564,0.1175,0.1272
5,NDCG,0.1363,0.0982,0.2476,0.2734
5,MAP,0.1089,0.0750,0.2131,0.2376
10,PRECISION,0.0353,0.0299,0.0465,0.0493
10,RECALL,0.3534,0.2989,0.4652,0.4934
10,F1,0.0643,0.0543,0.0846,0.0897
10,NDCG,0.1795,0.1404,0.2838,0.3096
10,MAP,0.1268,0.0926,0.2278,0.2526
20,PRECISION,0.0259,0.0240,0.0300,0.0302
20,RECALL,0.5188,0.4803,0.6006,0.6034
20,F1,0.0494,0.0457,0.0572,0.0575
20,NDCG,0.2210,0.1861,0.3181,0.3376
20,MAP,0.1380,0.1050,0.2373,0.2604
